id_origin,orig_long,orig_lat,dest_long,dest_lat
105,-73.978165,40.757977,-73.989838,40.751171
102,-74.006683,40.731781,-73.994499,40.75066
102,-74.004707,40.73777,-74.009834,40.726002
105,-73.974602,40.759945,-73.984734,40.759388
106,-73.97625,40.748528,-74.002586,40.747868
108,-73.966743,40.764252,-73.983322,40.743763
104,-73.995804,40.743977,-74.007416,40.744343
105,-73.989937,40.756775,-73.86525,40.77063
106,-73.980072,40.743137,-73.982712,40.735336
107,-73.977936,40.786983,-73.952919,40.80637
107,-73.982452,40.773167,-73.964134,40.773815
105,-73.99556,40.749294,-73.988686,40.759052
107,-73.971497,40.791321,-73.964478,40.775921
107,-73.98851,40.774307,-73.981094,40.755325
102,-73.994911,40.723221,-73.971558,40.761612
101,-74.010391,40.708702,-73.987846,40.756104
105,-73.973732,40.756287,-73.998413,40.756832
108,-73.968925,40.767704,-73.96199,40.776566
108,-73.96212,40.769737,-73.979561,40.75539
105,-73.989708,40.756714,-73.977615,40.787575
483,-73.78331,40.648766,-73.988914,40.748207
108,-73.956505,40.771278,-73.996368,40.73246
108,-73.95578,40.77932,-73.967285,40.763344
105,-73.978439,40.764679,-73.977684,40.777004
105,-73.992172,40.749954,-73.99675,40.744553
302,-73.992111,40.689701,-74.007156,40.679295
107,-73.978653,40.787735,-73.96579,40.805321
108,-73.965317,40.769375,-73.967133,40.763699
480,-73.862709,40.769142,-73.982079,40.762295
106,-73.977127,40.74831,-73.990913,40.751053
306,-73.976318,40.682724,-73.917915,40.742664
106,-73.966682,40.761139,-73.938515,40.792332
108,-73.948334,40.776482,-73.99176,40.733841
102,-73.993202,40.724407,-73.984833,40.748741
301,-73.9655,40.711113,-73.918327,40.758671
105,-73.991936,40.749622,-73.978531,40.751308
105,-73.982384,40.752102,-73.993332,40.736393
102,-73.993828,40.721008,-73.9524,40.723228
105,-73.991142,40.750366,-73.984436,40.618481
105,-73.987022,40.759373,-73.862022,40.768017
105,-73.991173,40.74313,-74.013763,40.702297
105,-73.99115,40.750023,-73.952614,40.74115
104,-73.989342,40.763168,-73.991577,40.750309
108,-73.959496,40.779442,-73.960724,40.775745
405,-73.904716,40.726418,-73.984154,40.760082
108,-73.95871,40.768471,-73.973656,40.763348
480,-73.873154,40.773998,-73.92878,40.859314
104,-73.990623,40.756813,-73.982101,40.758984
106,-73.965843,40.758705,-73.978134,40.752731
105,-73.981796,40.758862,-73.967239,40.7617
105,-73.977318,40.764542,-73.981895,40.779526
106,-73.986534,40.7342,-73.987869,40.75914
164,-73.96666,40.773125,-73.971802,40.765766
108,-73.958649,40.768791,-73.970909,40.76149
106,-73.975922,40.744606,-73.998146,40.729076
108,-73.963608,40.774113,-73.944038,40.717518
108,-73.958481,40.761166,-73.986542,40.749397
105,-73.985573,40.747375,-73.983879,40.739223
107,-73.985184,40.773998,-73.964737,40.801834
106,-73.967682,40.751221,-73.995232,40.717422
