id_origin,id_destino,times
"102 / Manhattan/ ""Greenwich Village - Noho - Soho - Little Italy""",409,1
"102 / Manhattan/ ""Greenwich Village - Noho - Soho - Little Italy""",204,2
"102 / Manhattan/ ""Greenwich Village - Noho - Soho - Little Italy""",501,2
"102 / Manhattan/ ""Greenwich Village - Noho - Soho - Little Italy""",481,1
"102 / Manhattan/ ""Greenwich Village - Noho - Soho - Little Italy""",209,1
"102 / Manhattan/ ""Greenwich Village - Noho - Soho - Little Italy""",407,1
"102 / Manhattan/ ""Greenwich Village - Noho - Soho - Little Italy""",411,2
"102 / Manhattan/ ""Greenwich Village - Noho - Soho - Little Italy""",413,1
"102 / Manhattan/ ""Greenwich Village - Noho - Soho - Little Italy""",207,1
"102 / Manhattan/ ""Greenwich Village - Noho - Soho - Little Italy""",313,1
"103 / Manhattan/ ""Lower East Side - Chinatown - Two Bridges""",105,140
"103 / Manhattan/ ""Lower East Side - Chinatown - Two Bridges""",106,142
"103 / Manhattan/ ""Lower East Side - Chinatown - Two Bridges""",102,110
"103 / Manhattan/ ""Lower East Side - Chinatown - Two Bridges""",111,11
"103 / Manhattan/ ""Lower East Side - Chinatown - Two Bridges""",108,62
"103 / Manhattan/ ""Lower East Side - Chinatown - Two Bridges""",310,4
"103 / Manhattan/ ""Lower East Side - Chinatown - Two Bridges""",107,45
"103 / Manhattan/ ""Lower East Side - Chinatown - Two Bridges""",304,7
"103 / Manhattan/ ""Lower East Side - Chinatown - Two Bridges""",101,47
"103 / Manhattan/ ""Lower East Side - Chinatown - Two Bridges""",103,107
"103 / Manhattan/ ""Lower East Side - Chinatown - Two Bridges""",301,54
"103 / Manhattan/ ""Lower East Side - Chinatown - Two Bridges""",401,20
"103 / Manhattan/ ""Lower East Side - Chinatown - Two Bridges""",303,18
"103 / Manhattan/ ""Lower East Side - Chinatown - Two Bridges""",104,83
"103 / Manhattan/ ""Lower East Side - Chinatown - Two Bridges""",308,8
"103 / Manhattan/ ""Lower East Side - Chinatown - Two Bridges""",302,27
"103 / Manhattan/ ""Lower East Side - Chinatown - Two Bridges""",402,15
"103 / Manhattan/ ""Lower East Side - Chinatown - Two Bridges""",202,1
"103 / Manhattan/ ""Lower East Side - Chinatown - Two Bridges""",309,4
"103 / Manhattan/ ""Lower East Side - Chinatown - Two Bridges""",207,2
"103 / Manhattan/ ""Lower East Side - Chinatown - Two Bridges""",480,3
"103 / Manhattan/ ""Lower East Side - Chinatown - Two Bridges""",403,5
"103 / Manhattan/ ""Lower East Side - Chinatown - Two Bridges""",483,5
"103 / Manhattan/ ""Lower East Side - Chinatown - Two Bridges""",307,8
"103 / Manhattan/ ""Lower East Side - Chinatown - Two Bridges""",412,1
"103 / Manhattan/ ""Lower East Side - Chinatown - Two Bridges""",164,6
"103 / Manhattan/ ""Lower East Side - Chinatown - Two Bridges""",306,18
"103 / Manhattan/ ""Lower East Side - Chinatown - Two Bridges""",205,1
"103 / Manhattan/ ""Lower East Side - Chinatown - Two Bridges""",406,4
"103 / Manhattan/ ""Lower East Side - Chinatown - Two Bridges""",312,3
"103 / Manhattan/ ""Lower East Side - Chinatown - Two Bridges""",414,1
"103 / Manhattan/ ""Lower East Side - Chinatown - Two Bridges""",110,8
"103 / Manhattan/ ""Lower East Side - Chinatown - Two Bridges""",405,4
"103 / Manhattan/ ""Lower East Side - Chinatown - Two Bridges""",109,6
"103 / Manhattan/ ""Lower East Side - Chinatown - Two Bridges""",411,2
"103 / Manhattan/ ""Lower East Side - Chinatown - Two Bridges""",404,2
"103 / Manhattan/ ""Lower East Side - Chinatown - Two Bridges""",314,3
"103 / Manhattan/ ""Lower East Side - Chinatown - Two Bridges""",208,2
"103 / Manhattan/ ""Lower East Side - Chinatown - Two Bridges""",311,1
"103 / Manhattan/ ""Lower East Side - Chinatown - Two Bridges""",211,1
"103 / Manhattan/ ""Lower East Side - Chinatown - Two Bridges""",112,5
"103 / Manhattan/ ""Lower East Side - Chinatown - Two Bridges""",316,1
"103 / Manhattan/ ""Lower East Side - Chinatown - Two Bridges""",355,1
"103 / Manhattan/ ""Lower East Side - Chinatown - Two Bridges""",408,1
"103 / Manhattan/ ""Lower East Side - Chinatown - Two Bridges""",313,1
"103 / Manhattan/ ""Lower East Side - Chinatown - Two Bridges""",204,1
"104 / Manhattan/ ""Chelsea - Clinton""",104,281
"104 / Manhattan/ ""Chelsea - Clinton""",105,263
"104 / Manhattan/ ""Chelsea - Clinton""",106,69
"104 / Manhattan/ ""Chelsea - Clinton""",107,89
"104 / Manhattan/ ""Chelsea - Clinton""",480,25
"104 / Manhattan/ ""Chelsea - Clinton""",103,63
"104 / Manhattan/ ""Chelsea - Clinton""",102,96
"104 / Manhattan/ ""Chelsea - Clinton""",109,14
"104 / Manhattan/ ""Chelsea - Clinton""",401,17
"104 / Manhattan/ ""Chelsea - Clinton""",101,43
"104 / Manhattan/ ""Chelsea - Clinton""",409,4
"104 / Manhattan/ ""Chelsea - Clinton""",306,10
"104 / Manhattan/ ""Chelsea - Clinton""",111,25
"104 / Manhattan/ ""Chelsea - Clinton""",108,71
"104 / Manhattan/ ""Chelsea - Clinton""",301,11
"104 / Manhattan/ ""Chelsea - Clinton""",302,8
"104 / Manhattan/ ""Chelsea - Clinton""",201,2
"104 / Manhattan/ ""Chelsea - Clinton""",402,6
"104 / Manhattan/ ""Chelsea - Clinton""",164,19
"104 / Manhattan/ ""Chelsea - Clinton""",303,10
"104 / Manhattan/ ""Chelsea - Clinton""",407,2
"104 / Manhattan/ ""Chelsea - Clinton""",411,2
"104 / Manhattan/ ""Chelsea - Clinton""",110,17
"104 / Manhattan/ ""Chelsea - Clinton""",483,4
"104 / Manhattan/ ""Chelsea - Clinton""",316,1
