Origin,Orig Long,Orig Lat,Destination,Dest Long,Dest Lat,Times
Manhattan,-73.98793,40.749542,Manhattan,-73.978981,40.766735,0
Manhattan,-73.989296,40.756313,Manhattan,-73.987885,40.751122,0
Manhattan,-73.961678,40.756123,Manhattan,-73.969917,40.753159,0
Manhattan,-73.946854,40.775887,Manhattan,-73.961754,40.77993,0
Manhattan,-73.986847,40.762066,Manhattan,-74.002892,40.760334,0
Manhattan,-73.986351,40.738503,Manhattan,-73.981422,40.74744,0
Manhattan,-73.9879,40.737755,Manhattan,-73.979568,40.730965,0
Manhattan,-73.998299,40.740654,Manhattan,-74.000504,40.747913,0
Manhattan,-74.003059,40.723473,Manhattan,-73.976883,40.751884,0
Manhattan,-73.952026,40.766479,Manhattan,-73.966827,40.759968,0
Manhattan,-73.945396,40.80209,Manhattan,-73.945412,40.802025,0
Manhattan,-73.983917,40.746563,Manhattan,-73.990921,40.750141,0
Manhattan,-73.984734,40.76931,Manhattan,-73.997787,40.744205,0
Manhattan,-73.976288,40.765472,Manhattan,-73.975105,40.757393,0
Manhattan,-73.995102,40.744781,Manhattan,-73.992508,40.738434,0
Manhattan,-73.972366,40.762138,Manhattan,-73.957542,40.782902,0
Manhattan,-74.00679,40.754345,Manhattan,-73.980316,40.784081,0
Manhattan,-74.005058,40.728676,Manhattan,-73.977501,40.757061,0
Manhattan,-73.960358,40.769138,Manhattan,-73.961914,40.775684,0
Queens,-73.874374,40.774078,Manhattan,-73.978325,40.764835,0
Manhattan,-73.985962,40.758213,Manhattan,-73.950424,40.783554,0
Queens,-73.783318,40.648636,Brooklyn,-73.964249,40.719543,0
Manhattan,-74.00843,40.707649,Manhattan,-73.992279,40.749187,0
Manhattan,-73.987953,40.761723,Manhattan,-73.989838,40.756985,0
Manhattan,-73.994026,40.719303,Manhattan,-73.978729,40.762787,0
Manhattan,-73.997856,40.756405,Queens,-73.872955,40.774406,0
Manhattan,-73.988632,40.73122,Manhattan,-73.986717,40.738674,0
Manhattan,-73.990204,40.748875,Manhattan,-73.958092,40.765244,0
Manhattan,-73.994225,40.743343,Manhattan,-73.990562,40.724537,0
Manhattan,-73.983711,40.756092,Manhattan,-73.98494,40.748222,0
Manhattan,-74.000961,40.747326,Manhattan,-73.981567,40.742344,0
Manhattan,-74.000534,40.742233,Manhattan,-74.005173,40.728985,0
Manhattan,-73.991524,40.750286,Manhattan,-73.970345,40.751801,0
Manhattan,-74.006844,40.741451,Manhattan,-73.994499,40.75061,0
Manhattan,-73.970627,40.788956,Manhattan,-73.96949,40.797729,0
Manhattan,-73.985481,40.75679,Manhattan,-73.99131,40.749985,0
Manhattan,-73.988838,40.723125,Manhattan,-73.99382,40.721088,0
Manhattan,-73.988708,40.720913,Manhattan,-73.940193,40.79808,0
Manhattan,-73.981224,40.767769,Manhattan,-73.970879,40.758625,0
Manhattan,-73.990692,40.718311,Manhattan,-73.979843,40.739082,0
Manhattan,-73.952293,40.766174,Manhattan,-73.956772,40.783718,0
