Origin,Dest Long,Dest Lat,Times
Manhattan,-73.982346,40.765648,0
Manhattan,-74.008133,40.705322,0
Brooklyn,-73.950684,40.723576,0
Manhattan,-73.945297,40.783367,0
Manhattan,-73.983971,40.760571,0
Manhattan,-74.000549,40.739807,0
Brooklyn,-73.935463,40.705311,0
Manhattan,-73.982239,40.774769,0
Manhattan,-73.99884,40.739799,0
Manhattan,-73.978394,40.728966,0
Manhattan,-74.004868,40.707172,0
Brooklyn,-73.995827,40.685932,0
Manhattan,-73.985611,40.738251,0
Manhattan,-74.016418,40.706966,0
Manhattan,-73.943939,40.797703,0
Manhattan,-73.987915,40.744068,0
Manhattan,-74.014145,40.717556,0
Manhattan,-73.977165,40.722591,0
Manhattan,-73.983719,40.723,0
Manhattan,-73.975548,40.79541,0
Brooklyn,-74.003906,40.682579,0
Manhattan,-73.981209,40.756863,0
Manhattan,-74.00547,40.728577,0
Manhattan,-73.997368,40.709606,0
Manhattan,-73.999435,40.740112,0
Manhattan,-73.97834,40.726185,0
Manhattan,-74.00415,40.734062,0
Manhattan,-74.000038,40.733028,0
Manhattan,-73.991806,40.754601,0
Manhattan,-73.99025,40.750816,0
Manhattan,-73.987892,40.750336,0
Manhattan,-73.97467,40.757351,0
Manhattan,-73.996513,40.737846,0
Manhattan,-73.962631,40.809528,0
Manhattan,-73.999718,40.761463,0
Manhattan,-73.994621,40.723892,0
Manhattan,-73.944031,40.809711,0
Queens,-73.907364,40.753197,0
Manhattan,-73.997894,40.722618,0
Manhattan,-73.946968,40.790138,0
Manhattan,-73.962914,40.794117,0
Manhattan,-73.981033,40.778481,0
Manhattan,-73.968697,40.747532,0
Manhattan,-73.950638,40.779091,0
Manhattan,-73.97242,40.790741,0
Manhattan,-73.996353,40.753288,0
Manhattan,-73.977013,40.792873,0
Manhattan,-73.97966,40.786438,0
Manhattan,-73.9645,40.766811,0
Manhattan,-73.955551,40.769642,0
Manhattan,-73.997734,40.739216,0
Manhattan,-73.974709,40.756065,0
Manhattan,-73.966927,40.764969,0
Manhattan,-73.982361,40.738773,0
Manhattan,-73.984009,40.725426,0
Manhattan,-73.957169,40.777683,0
Manhattan,-73.980186,40.758793,0
Manhattan,-73.988235,40.734985,0
Manhattan,-73.982201,40.765415,0
Manhattan,-73.967941,40.767231,0
Manhattan,-73.965065,40.772285,0
Manhattan,-73.975075,40.787533,0
Manhattan,-73.947372,40.787907,0
Manhattan,-73.958595,40.775982,0
Manhattan,-73.983749,40.746761,0
Manhattan,-73.972855,40.790997,0
Manhattan,-73.965454,40.765976,0
Manhattan,-74.002258,40.718033,0
Manhattan,-73.974998,40.759819,0
Manhattan,-73.981499,40.759571,0
Manhattan,-73.96447,40.758873,0
Manhattan,-73.987556,40.755356,0
Manhattan,-73.992378,40.750191,0
Manhattan,-73.987083,40.73354,0
Brooklyn,-73.973228,40.677776,0
Manhattan,-73.976959,40.77758,0
