id_origin,orig_long,orig_lat,espacio,id_destino,dest_long,dest_lat
101,-73.999481,40.758846,       ,104,-73.999481,40.758846
101,-73.987129,40.749557,       ,105,-73.987129,40.749557
101,-73.994888,40.750061,       ,105,-73.994888,40.750061
101,-74.004555,40.710213,       ,101,-74.004555,40.710213
101,-73.98275,40.723042,       ,103,-73.98275,40.723042
101,-73.782394,40.644218,       ,483,-73.782394,40.644218
101,-73.941994,40.714718,       ,301,-73.941994,40.714718
101,-73.966583,40.753094,       ,106,-73.966583,40.753094
101,-74.008942,40.71109,       ,101,-74.008942,40.71109
101,-74.003784,40.725956,       ,102,-74.003784,40.725956
101,-73.969604,40.748974,       ,106,-73.969604,40.748974
101,-73.971252,40.797932,       ,107,-73.971252,40.797932
101,-73.999611,40.711983,       ,103,-73.999611,40.711983
101,-73.989891,40.75061,       ,105,-73.989891,40.75061
101,-73.95826,40.774914,       ,108,-73.95826,40.774914
101,-73.954987,40.78326,       ,108,-73.954987,40.78326
101,-73.950111,40.775898,       ,108,-73.950111,40.775898
101,-74.009201,40.71405,       ,101,-74.009201,40.71405
101,-74.01342,40.705376,       ,101,-74.01342,40.705376
101,-73.911148,40.813671,       ,201,-73.911148,40.813671
101,-74.009018,40.710396,       ,101,-74.009018,40.710396
101,-74.001953,40.745903,       ,104,-74.001953,40.745903
101,-73.926888,40.743954,       ,402,-73.926888,40.743954
101,-73.922127,40.743744,       ,402,-73.922127,40.743744
101,-73.995682,40.749378,       ,104,-73.995682,40.749378
101,-73.973907,40.758884,       ,105,-73.973907,40.758884
101,-73.999054,40.734226,       ,102,-73.999054,40.734226
101,-73.999489,40.714123,       ,103,-73.999489,40.714123
101,-73.963287,40.808975,       ,109,-73.963287,40.808975
101,-74.014786,40.711243,       ,101,-74.014786,40.711243
101,-74.005066,40.72311,       ,102,-74.005066,40.72311
101,-73.98571,40.744118,       ,105,-73.98571,40.744118
101,-73.988518,40.749401,       ,105,-73.988518,40.749401
101,-74.013519,40.714218,       ,101,-74.013519,40.714218
101,-74.008797,40.719387,       ,101,-74.008797,40.719387
101,-73.994011,40.732803,       ,102,-73.994011,40.732803
101,-73.98764,40.736603,       ,105,-73.98764,40.736603
101,-73.944771,40.714573,       ,301,-73.944771,40.714573
101,-73.993881,40.727192,       ,102,-73.993881,40.727192
101,-73.871986,40.774471,       ,480,-73.871986,40.774471
101,-74.005363,40.727879,       ,102,-74.005363,40.727879
101,-74.016838,40.704922,       ,101,-74.016838,40.704922
101,-73.786369,40.645145,       ,483,-73.786369,40.645145
101,-73.991951,40.725628,       ,103,-73.991951,40.725628
101,-74.005692,40.74213,       ,104,-74.005692,40.74213
101,-73.994713,40.728626,       ,102,-73.994713,40.728626
101,-73.969734,40.748852,       ,106,-73.969734,40.748852
101,-73.962044,40.769482,       ,108,-73.962044,40.769482
101,-73.986427,40.761082,       ,105,-73.986427,40.761082
101,-73.999352,40.728416,       ,102,-73.999352,40.728416
101,-73.990303,40.689354,       ,302,-73.990303,40.689354
101,-73.964218,40.758137,       ,106,-73.964218,40.758137
101,-73.923012,40.73317,       ,402,-73.923012,40.73317
101,-73.99823,40.745487,       ,104,-73.99823,40.745487
101,-74.008797,40.719006,       ,101,-74.008797,40.719006
101,-73.973717,40.754913,       ,105,-73.973717,40.754913
101,-73.888779,40.747849,       ,403,-73.888779,40.747849
101,-74.001968,40.735798,       ,102,-74.001968,40.735798
101,-73.926308,40.701157,       ,304,-73.926308,40.701157
101,-73.959045,40.716583,       ,301,-73.959045,40.716583
101,-73.998726,40.730656,       ,102,-73.998726,40.730656
101,-73.997589,40.736301,       ,102,-73.997589,40.736301
101,-73.998932,40.734428,       ,102,-73.998932,40.734428
101,-74.007156,40.72863,       ,102,-74.007156,40.72863
101,-73.947044,40.771866,       ,108,-73.947044,40.771866
101,-73.991737,40.738331,       ,105,-73.991737,40.738331
101,-73.9785,40.742886,       ,106,-73.9785,40.742886
101,-73.786575,40.640503,       ,483,-73.786575,40.640503
101,-73.78096,40.646687,       ,483,-73.78096,40.646687
101,-73.920059,40.77206,       ,401,-73.920059,40.77206
101,-73.997528,40.736431,       ,102,-73.997528,40.736431
101,-74.013565,40.708565,       ,101,-74.013565,40.708565
101,-74.010689,40.728973,       ,102,-74.010689,40.728973
101,-73.991768,40.713894,       ,103,-73.991768,40.713894
101,-73.940933,40.818924,       ,110,-73.940933,40.818924
101,-73.958473,40.772957,       ,108,-73.958473,40.772957
101,-74.010315,40.731117,       ,102,-74.010315,40.731117
101,-73.983353,40.761242,       ,105,-73.983353,40.761242
101,-73.982658,40.739326,       ,106,-73.982658,40.739326
101,-73.946098,40.808048,       ,110,-73.946098,40.808048
101,-73.912399,40.780754,       ,401,-73.912399,40.780754
101,-74.017807,40.644245,       ,307,-74.017807,40.644245
101,-73.871399,40.774319,       ,480,-73.871399,40.774319
101,-73.951874,40.781734,       ,108,-73.951874,40.781734
101,-73.987473,40.750542,       ,105,-73.987473,40.750542
101,-73.961296,40.76873,       ,108,-73.961296,40.76873
101,-73.979561,40.743114,       ,106,-73.979561,40.743114
101,-73.952698,40.678558,       ,308,-73.952698,40.678558
